Months,SST
2013-10-01T00:00:00.000000000,-0.52213097
2013-11-01T00:00:00.000000000,-0.4770031
2013-12-01T00:00:00.000000000,-0.5997505
2014-01-01T00:00:00.000000000,-0.9929962
2014-02-01T00:00:00.000000000,-0.9013901
2014-03-01T00:00:00.000000000,-0.02812004
2014-04-01T00:00:00.000000000,0.8648586
2014-05-01T00:00:00.000000000,1.2036686
2014-06-01T00:00:00.000000000,0.9056244
2014-07-01T00:00:00.000000000,0.1803112
2014-08-01T00:00:00.000000000,-0.219347
2014-09-01T00:00:00.000000000,-0.04355812
2014-10-01T00:00:00.000000000,0.1090641
2014-11-01T00:00:00.000000000,0.406435
2014-12-01T00:00:00.000000000,0.2654209
2015-01-01T00:00:00.000000000,0.032987595
2015-02-01T00:00:00.000000000,0.16016006
2015-03-01T00:00:00.000000000,0.7384758
2015-04-01T00:00:00.000000000,1.4863644
2015-05-01T00:00:00.000000000,1.8159466
2015-06-01T00:00:00.000000000,1.8650227
2015-07-01T00:00:00.000000000,1.7053509
2015-08-01T00:00:00.000000000,1.7379494
2015-09-01T00:00:00.000000000,1.8767414
2015-10-01T00:00:00.000000000,2.0339146
2015-11-01T00:00:00.000000000,2.3742142
2015-12-01T00:00:00.000000000,2.2189445
2016-01-01T00:00:00.000000000,2.0771236
2016-02-01T00:00:00.000000000,1.9760609
2016-03-01T00:00:00.000000000,1.8818245
2016-04-01T00:00:00.000000000,1.6984253
2016-05-01T00:00:00.000000000,1.2144203
2016-06-01T00:00:00.000000000,0.6758003
2016-07-01T00:00:00.000000000,-0.20840073
2016-08-01T00:00:00.000000000,-0.7436943
2016-09-01T00:00:00.000000000,-0.8814945
2016-10-01T00:00:00.000000000,-1.0495625
2016-11-01T00:00:00.000000000,-1.081337
2016-12-01T00:00:00.000000000,-0.930336
2017-01-01T00:00:00.000000000,-0.9114628
2017-02-01T00:00:00.000000000,-0.3589306
2017-03-01T00:00:00.000000000,0.29120255
2017-04-01T00:00:00.000000000,0.99459267
2017-05-01T00:00:00.000000000,1.2541943
2017-06-01T00:00:00.000000000,1.025238
2017-07-01T00:00:00.000000000,0.5144367
2017-08-01T00:00:00.000000000,-0.33302116
2017-09-01T00:00:00.000000000,-0.7482147
2017-10-01T00:00:00.000000000,-0.8846359
2017-11-01T00:00:00.000000000,-1.2931213
2017-12-01T00:00:00.000000000,-1.4304066
2018-01-01T00:00:00.000000000,-1.4593811
2018-02-01T00:00:00.000000000,-1.0521584
2018-03-01T00:00:00.000000000,-0.53687096
2018-04-01T00:00:00.000000000,0.28674698
2018-05-01T00:00:00.000000000,0.7062111
2018-06-01T00:00:00.000000000,0.7530575
2018-07-01T00:00:00.000000000,0.39961433
2018-08-01T00:00:00.000000000,-0.06880188
2018-09-01T00:00:00.000000000,0.16844177
2018-10-01T00:00:00.000000000,0.59713554
2018-11-01T00:00:00.000000000,0.5874443
2018-12-01T00:00:00.000000000,0.46011543
2019-01-01T00:00:00.000000000,0.17402077
2019-02-01T00:00:00.000000000,0.4507122
2019-03-01T00:00:00.000000000,1.0727196
2019-04-01T00:00:00.000000000,1.419733
2019-05-01T00:00:00.000000000,1.4624672
2019-06-01T00:00:00.000000000,1.1515179
2019-07-01T00:00:00.000000000,0.6150818
2019-08-01T00:00:00.000000000,-0.12733841
2019-09-01T00:00:00.000000000,-0.27360344
2019-10-01T00:00:00.000000000,0.176548
2019-11-01T00:00:00.000000000,0.20146179
2019-12-01T00:00:00.000000000,0.092638016
2020-01-01T00:00:00.000000000,0.124578476
2020-02-01T00:00:00.000000000,0.10015106
2020-03-01T00:00:00.000000000,0.74175644
2020-04-01T00:00:00.000000000,1.1573505
2020-05-01T00:00:00.000000000,0.631361
2020-06-01T00:00:00.000000000,0.3609619
2020-07-01T00:00:00.000000000,-0.03740692
2020-08-01T00:00:00.000000000,-0.7617912
2020-09-01T00:00:00.000000000,-1.1418743
2020-10-01T00:00:00.000000000,-1.5605831
2020-11-01T00:00:00.000000000,-1.7405701
2020-12-01T00:00:00.000000000,-1.5773354
2021-01-01T00:00:00.000000000,-1.4824219
2021-02-01T00:00:00.000000000,-1.2761536
2021-03-01T00:00:00.000000000,-0.5416355
2021-04-01T00:00:00.000000000,0.07056618
2021-05-01T00:00:00.000000000,0.43877983
2021-06-01T00:00:00.000000000,0.4098587
2021-07-01T00:00:00.000000000,-0.13508034
2021-08-01T00:00:00.000000000,-0.7148857
2021-09-01T00:00:00.000000000,-0.874712
2021-10-01T00:00:00.000000000,-1.2631321
2021-11-01T00:00:00.000000000,-1.2794781
2021-12-01T00:00:00.000000000,-1.5008659
